,ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
5094,5094,retained,51,45,131.6709244,2490,224,0,1948.560306,1348.629044,7,7,iPhone
4747,4747,churned,166,133,216.9719192,1184,447,0,9822.812525,1426.749641,22,13,Android
510,510,churned,49,40,217.1706497,116,135,62,3056.320103,2198.499421,6,4,iPhone
700,700,retained,91,73,227.7439976,3069,112,33,4579.458374,765.2062369,17,10,Android
6679,6679,retained,108,86,134.8749425,19,644,86,2262.45968,1113.870746,19,19,iPhone
11135,11135,retained,100,81,215.3882834,1434,0,0,4384.789312,3645.551193,28,22,Android
2628,2628,retained,115,93,229.1667206,1805,2,0,2753.366243,526.9826657,8,8,Android
3679,3679,churned,4,4,186.4606355,1053,199,117,2417.299178,2000.117087,16,12,iPhone
1277,1277,retained,391,312,478.5112496,2799,61,0,2795.942944,1897.409939,27,24,iPhone
5226,5226,retained,20,16,163.6793879,3084,834,0,4090.905299,571.0648747,13,10,iPhone
2030,2030,,45,36,286.3809665,81,449,0,1567.711621,332.3102759,16,11,iPhone
5071,5071,churned,118,95,122.5262948,821,123,0,3376.258431,2012.61564,7,4,iPhone
39,39,retained,91,91,123.8217255,470,0,86,3423.421216,2355.455086,29,26,iPhone
1891,1891,churned,95,76,258.8695392,1073,616,9,2786.372786,1335.205207,3,0,iPhone
7874,7874,retained,105,86,181.3155123,2907,70,0,2399.453077,1547.571547,19,11,Android
4785,4785,retained,31,26,116.8879167,76,7,1,2852.528356,1981.279117,0,0,Android
3421,3421,retained,342,274,438.3166133,3334,29,108,1295.74346,1062.222857,20,13,iPhone
4111,4111,retained,314,255,321.7260463,2577,47,0,1697.515918,539.5513635,18,14,Android
7621,7621,retained,122,99,224.5348901,1431,121,2,3482.023073,2433.634129,25,22,Android
10514,10514,churned,64,52,200.2172212,1167,0,32,5808.654751,4458.485721,6,0,iPhone
2980,2980,retained,54,44,197.640222,1130,1,9,5509.45535,2611.914304,11,11,Android
5001,5001,retained,16,13,118.9901475,1420,57,0,1327.265711,83.98559303,25,20,Android
12678,12678,retained,5,5,461.7058332,3029,29,0,2826.66632,1363.007973,26,25,iPhone
1303,1303,retained,203,162,410.3238954,2395,72,0,4038.866302,3272.137896,11,10,Android
4618,4618,retained,25,20,29.1433507,546,155,7,1645.499572,520.6417359,23,14,iPhone
7708,7708,retained,81,65,113.693651,3398,135,17,373.2712792,134.665062,7,6,iPhone
10986,10986,retained,217,183,296.1750576,3186,128,121,3778.937993,2010.369637,28,18,iPhone
346,346,retained,11,11,161.8940289,1593,254,58,3147.69385,374.301501,16,9,iPhone
7375,7375,retained,43,35,185.6354093,3000,266,0,5405.375909,1202.016451,17,10,iPhone
8530,8530,retained,74,59,87.43911204,1763,126,3,1079.810394,306.794315,25,21,Android
9743,9743,retained,16,16,172.9826733,2697,0,0,4975.540006,2537.993585,3,3,Android
474,474,retained,24,20,27.82553366,1946,71,1,3335.884135,1179.569892,30,26,iPhone
8860,8860,churned,8,6,92.2805048,1636,0,29,2649.349494,1210.395137,2,0,iPhone
6576,6576,churned,161,161,438.7329299,2380,0,0,3645.85144,587.0892534,4,4,iPhone
9937,9937,retained,0,0,489.3566064,94,47,0,5571.218398,4449.829506,7,7,iPhone
12770,12770,retained,17,14,90.79655413,2412,87,44,4954.725362,2031.145963,17,9,iPhone
13316,13316,retained,70,70,86.04053564,1363,624,0,3286.109378,2703.831835,12,8,Android
322,322,retained,10,9,12.7841033,2027,88,0,1296.894808,899.3904551,23,22,iPhone
5245,5245,churned,12,10,83.54142361,1444,0,0,1973.047536,547.6399964,4,4,iPhone
4953,4953,retained,63,51,80.62995317,826,310,0,2244.023802,640.6858159,1,0,Android
11247,11247,retained,118,95,274.5896257,2801,21,86,2182.774743,1710.616689,21,16,iPhone
7820,7820,retained,208,167,498.8154052,1014,50,0,4460.623868,2738.600433,10,6,iPhone
2754,2754,retained,72,58,581.7958184,2558,0,3,1348.501409,924.9248661,0,0,iPhone
9512,9512,churned,28,23,34.52934997,1597,16,42,3523.029036,371.0572162,14,12,iPhone
13631,13631,retained,71,57,99.4753684,3099,59,0,10367.58287,1249.80922,6,6,iPhone
3514,3514,churned,71,59,561.1456032,1302,68,14,7019.984565,986.5687012,10,10,Android
5905,5905,retained,39,34,40.01285769,1897,0,0,1316.361225,921.9540805,6,6,Android
971,971,retained,128,104,429.0925793,1757,0,16,2674.71968,2132.256652,23,18,Android
6698,6698,retained,28,22,213.1164517,2475,0,29,1639.68217,990.1965012,28,27,iPhone
10194,10194,churned,20,16,58.93543377,16,75,0,3535.184802,1301.07122,16,15,iPhone
8661,8661,retained,70,56,253.5566726,2225,70,111,2363.70654,1394.062658,3,0,iPhone
12095,12095,retained,36,30,195.5013455,3021,309,68,3950.348831,2080.671312,20,17,iPhone
6113,6113,,11,11,26.68651301,781,4,43,3635.154105,1911.549622,17,10,iPhone
10862,10862,retained,17,17,103.1266774,1053,0,61,2335.890241,998.5610218,5,5,iPhone
14569,14569,retained,141,114,153.9469006,3202,25,0,1730.098987,303.8252359,15,15,iPhone
1201,1201,retained,92,77,180.3728591,1713,0,5,7225.638249,5902.095362,13,7,Android
2727,2727,retained,39,39,264.014903,3134,0,0,1603.417858,814.0095486,30,20,Android
7399,7399,retained,81,66,188.1892235,669,0,0,3121.015338,2040.784911,27,17,Android
7795,7795,retained,45,37,179.9561601,692,120,6,1359.012662,333.840109,21,19,iPhone
14739,14739,retained,25,20,40.02481232,2956,0,27,4818.642257,2845.129017,7,4,iPhone
36,36,retained,75,60,108.1659311,2329,223,36,2354.623612,809.7421876,4,1,Android
12943,12943,churned,148,118,168.3421141,1099,29,0,4938.610121,2923.913235,14,8,iPhone
4750,4750,retained,131,106,257.8057595,2006,161,58,4961.341613,2657.812168,24,22,iPhone
6740,6740,retained,26,24,183.3933539,2482,96,28,5149.625173,3538.532395,22,21,iPhone
14664,14664,retained,244,198,265.6266479,1739,91,33,3678.922239,2868.679011,14,13,iPhone
6933,6933,retained,34,28,50.11184473,1731,102,0,1583.313741,1105.02163,22,18,iPhone
5183,5183,retained,8,6,48.19870393,1447,309,0,3918.607467,867.1280269,22,21,Android
10465,10465,churned,67,55,73.60017902,2083,11,1,6180.752766,3396.920113,28,24,Android
8969,8969,retained,64,51,88.73028013,1789,73,2,3968.704942,411.4735663,7,7,iPhone
12631,12631,retained,128,105,172.3835284,988,0,12,3273.493412,2171.732823,3,0,Android
11661,11661,churned,149,119,217.8700916,1756,549,0,3905.342269,1359.127464,18,12,iPhone
8459,8459,retained,3,2,3.825362163,1642,15,177,2790.20959,1601.143,28,27,iPhone
3090,3090,churned,33,29,88.68426917,895,21,144,1414.068274,309.4666924,11,9,iPhone
12232,12232,retained,13,12,207.8821929,2367,42,0,1475.89341,816.6999893,24,20,Android
1288,1288,,28,25,327.7666422,1007,2,4,3559.641199,1214.661207,13,11,iPhone
3031,3031,retained,116,116,118.9237083,2907,65,9,1362.940781,946.7230869,12,5,iPhone
14655,14655,retained,12,12,18.71376246,2457,36,0,11309.22227,6629.236655,30,26,iPhone
2977,2977,retained,10,8,151.3689532,1654,23,5,5142.977424,1769.727811,20,19,iPhone
2400,2400,churned,172,139,244.2666064,1397,97,0,5194.078813,3688.783224,12,12,Android
14010,14010,retained,1,1,74.29177682,1371,66,31,3456.393224,1418.68768,26,23,iPhone
14508,14508,retained,58,54,237.0869432,3148,0,9,1330.513349,537.2939487,19,12,iPhone
13925,13925,churned,224,179,247.9963191,68,178,1,3830.88578,2436.555791,3,3,iPhone
9924,9924,retained,36,32,64.87877855,283,0,0,5146.930106,2691.396873,27,26,Android
1746,1746,churned,7,6,96.70208358,556,32,35,2563.948242,377.8202701,30,24,iPhone
4125,4125,retained,69,65,369.6649307,2137,132,39,5301.4693,1804.860405,12,11,Android
7172,7172,churned,40,33,101.0646675,3053,338,1,6202.245788,689.8816551,4,4,iPhone
9922,9922,retained,12,11,84.46049707,885,86,32,3610.857305,541.7880414,6,1,Android
4315,4315,churned,142,114,194.4911176,560,37,31,2296.024495,1333.394077,5,3,Android
8118,8118,retained,27,24,128.2519294,852,0,31,693.654049,223.6685952,9,7,Android
11571,11571,retained,56,45,429.9634383,463,0,0,2423.196263,1463.643555,24,17,Android
5981,5981,retained,277,223,305.106758,2673,5,0,2175.475244,303.6217856,27,26,iPhone
11487,11487,retained,102,82,156.747413,2666,95,80,3702.464358,296.9820022,27,22,Android
11908,11908,retained,26,26,58.92007209,493,46,0,5063.870721,1876.410532,30,25,Android
4549,4549,retained,74,60,452.1595234,1609,0,86,4314.412916,637.255113,23,15,Android
2507,2507,retained,51,42,74.56216895,1789,204,37,5946.384011,1110.976081,15,12,iPhone
3375,3375,retained,176,141,188.5904947,2017,0,37,6773.527067,1962.443649,29,22,iPhone
8310,8310,retained,99,99,110.0549146,2822,0,354,7430.998885,2671.229533,14,7,iPhone
7092,7092,churned,112,90,123.4241436,2073,0,0,1122.333145,552.7956362,23,15,iPhone
210,210,churned,351,281,453.6394213,3362,0,0,1812.494756,665.2729911,9,8,Android
13161,13161,retained,108,87,151.1819233,2625,149,107,1402.345861,911.255344,16,16,Android
1950,1950,retained,61,51,304.4871402,1938,20,6,1939.950134,1002.542182,14,7,iPhone
4393,4393,retained,37,30,179.307955,2372,0,0,3399.014025,746.014455,27,20,iPhone
651,651,retained,43,34,95.83409124,2974,0,4,6033.438729,1580.205361,9,9,iPhone
2206,2206,retained,79,64,81.94361665,1249,251,60,1797.946406,614.9628331,1,0,iPhone
4475,4475,,179,144,298.8800984,1551,98,0,1897.661073,1056.478839,17,10,iPhone
2615,2615,,41,34,156.7827943,2094,144,0,1272.980471,673.7945234,7,7,Android
1396,1396,retained,36,29,70.72184537,1939,44,65,4470.40697,1903.772857,19,19,Android
11051,11051,retained,109,94,246.7577295,2961,43,23,2838.463525,300.0173476,29,26,iPhone
5909,5909,churned,116,101,253.0751185,78,0,0,3764.308093,1333.925509,4,3,iPhone
3942,3942,retained,229,184,288.560455,3130,169,0,6382.973347,2858.079258,25,23,Android
1670,1670,retained,43,37,415.372589,1961,630,87,6489.14273,3048.324423,27,22,iPhone
2320,2320,retained,150,120,169.1111555,2057,122,0,968.4388805,293.6812793,24,18,iPhone
9509,9509,retained,71,57,80.45301138,120,0,16,3732.561191,2782.994361,16,9,iPhone
14342,14342,retained,165,132,393.1402215,1658,56,5,4660.078727,2535.043962,11,4,Android
1952,1952,retained,54,43,76.71953445,2247,176,30,3658.159799,1860.536491,10,6,Android
7630,7630,retained,13,10,161.0998833,2479,51,0,3285.556684,1382.361526,1,1,iPhone
14561,14561,retained,76,61,93.91828293,496,668,18,2960.546249,1464.049534,24,17,iPhone
2937,2937,retained,122,115,122.7597781,3035,11,20,3747.269357,430.8020574,10,10,iPhone
10857,10857,churned,15,12,77.46928372,1004,149,0,5096.770298,3170.960904,4,4,iPhone
11807,11807,retained,34,28,158.3130644,2427,22,0,9551.794226,1923.088499,17,12,Android
11035,11035,retained,147,133,174.8054442,540,0,4,4888.432088,2014.472766,30,29,iPhone
14223,14223,retained,60,49,544.6870768,2877,51,67,3034.642828,2016.197416,9,7,Android
10146,10146,retained,31,25,74.05008905,1285,34,0,1774.211407,1091.956836,26,17,iPhone
484,484,retained,122,97,291.4412641,2125,164,0,6870.115902,4700.532311,4,3,iPhone
11100,11100,retained,38,31,41.21345961,1181,324,0,5606.575098,4036.074609,21,14,iPhone
898,898,churned,76,76,132.4611198,2611,125,0,3443.013127,767.201645,1,0,iPhone
1732,1732,retained,67,55,243.423723,2367,0,50,1894.290748,1059.526067,18,15,iPhone
13955,13955,retained,11,9,68.02334818,2970,131,0,6093.250877,1156.370619,7,5,Android
2613,2613,retained,237,190,245.4268806,545,32,137,1759.366945,386.7163242,30,23,Android
6387,6387,retained,62,50,64.45104101,715,315,0,3519.490512,2257.201291,3,1,iPhone
8778,8778,retained,206,167,218.9938705,1485,113,74,8925.247632,7098.848889,29,28,iPhone
6076,6076,retained,143,115,144.8190172,3097,79,0,7934.753009,5306.863539,21,21,Android
14550,14550,retained,87,70,137.855885,756,42,31,3224.805585,2130.143396,6,0,iPhone
4684,4684,retained,78,64,156.1889227,2671,133,0,1888.666253,820.3465414,19,16,iPhone
2640,2640,retained,64,51,276.3079955,1031,0,20,6032.723617,2580.916073,8,8,Android
1250,1250,churned,2,2,61.72895069,1535,76,0,3534.125833,2548.626214,14,11,iPhone
12697,12697,churned,5,5,52.78921109,2756,5,71,1102.815784,622.8321365,5,5,Android
11078,11078,retained,23,21,71.1909433,1670,7,70,1569.813279,389.8798169,9,4,iPhone
2435,2435,retained,65,52,329.2597356,1665,214,1,1724.165144,826.0047548,25,21,iPhone
4954,4954,retained,128,103,152.0572083,1901,142,0,5070.715439,3788.32859,20,20,iPhone
9787,9787,retained,35,28,62.4245509,211,341,0,9538.214882,5689.687184,5,2,Android
14914,14914,churned,33,27,83.60219157,2596,146,8,2204.288507,1012.358526,3,3,iPhone
13356,13356,retained,79,65,93.04734857,2514,225,0,3723.658142,954.0686666,25,23,iPhone
4751,4751,retained,56,56,131.3900138,543,0,19,1922.310668,92.95956607,28,18,Android
8552,8552,,5,5,353.0023528,177,0,33,2939.202679,712.0599894,7,2,Android
13957,13957,retained,45,37,75.94367722,1392,0,1,5006.425017,2230.092851,30,26,iPhone
2303,2303,churned,58,48,134.3011812,42,359,0,2878.592878,1835.061351,12,9,iPhone
5532,5532,,8,8,75.97387295,2779,153,11,5816.110912,3260.21479,31,24,iPhone
11944,11944,retained,31,25,138.9805305,1709,160,8,3797.958933,2591.57132,27,18,Android
12525,12525,retained,67,55,217.996777,2788,17,0,1817.071083,622.3063314,4,0,iPhone
582,582,retained,128,106,268.3454637,2507,0,38,4509.662541,1255.128303,29,27,iPhone
7372,7372,retained,77,62,151.6388,859,566,34,897.6472399,290.1209559,5,3,iPhone
9811,9811,,67,55,82.1519601,1603,71,0,3564.767763,822.67493,10,7,iPhone
718,718,,400,321,497.1180536,1884,0,0,4344.17395,512.1110058,19,17,iPhone
12334,12334,churned,20,17,261.1888684,896,0,0,2088.543184,611.9938231,20,13,iPhone
11066,11066,retained,79,63,241.8804106,3410,167,12,1369.388354,563.0866599,14,9,iPhone
762,762,retained,3,3,118.640903,1361,0,10,2531.173519,1185.671395,20,20,iPhone
3468,3468,churned,106,86,267.1879619,724,474,0,7905.641072,6285.675405,21,15,iPhone
1870,1870,retained,87,83,176.1845201,3157,102,0,2603.619829,766.2450091,24,16,iPhone
12574,12574,retained,68,55,70.93336342,2161,80,0,2335.897439,118.2178407,2,2,Android
6072,6072,retained,62,57,319.4805203,1825,865,0,3479.469787,1881.08515,21,21,Android
6808,6808,retained,51,51,104.0302615,584,0,41,4648.338204,3227.543561,26,23,iPhone
6836,6836,churned,54,43,589.6981679,465,188,0,178.2323133,85.1655055,4,4,iPhone
738,738,retained,53,43,214.8979867,381,0,0,1012.974379,782.6557957,1,0,iPhone
9754,9754,churned,107,88,114.9038693,232,237,166,5564.384569,4031.004195,7,7,iPhone
12380,12380,retained,214,171,253.3135195,1419,61,21,2216.566321,1265.202382,18,17,iPhone
12534,12534,retained,35,35,103.5521642,555,0,21,3769.699949,2397.723606,14,11,iPhone
7508,7508,retained,31,26,46.63427788,471,106,23,3088.672617,207.2567408,10,4,Android
7503,7503,retained,113,113,487.8674076,1067,3,158,2171.443357,658.4364314,18,18,iPhone
11503,11503,retained,19,16,25.38366141,1281,67,35,3732.119085,1795.972511,14,10,iPhone
13612,13612,retained,17,13,47.10556951,1418,90,0,2111.093172,961.6603071,31,24,iPhone
14300,14300,retained,15,12,17.50294069,95,52,0,1454.231067,367.2254091,17,13,iPhone
4024,4024,retained,133,107,228.3354172,352,0,0,2985.67286,1289.4689,31,22,iPhone
14358,14358,retained,50,44,170.6396996,312,0,0,1877.850564,1157.517302,31,23,iPhone
8303,8303,retained,7,7,161.959797,1305,91,0,1778.318068,1148.656479,10,10,Android
750,750,churned,0,0,263.6463152,2233,175,151,3020.239328,1707.593246,11,11,Android
10330,10330,retained,24,19,37.42985786,1941,232,18,1544.241487,759.4896003,23,17,iPhone
12939,12939,retained,34,29,61.72189672,496,378,12,4411.46987,3384.33957,10,5,iPhone
8077,8077,retained,167,137,358.1315619,147,121,135,9709.806986,1352.762343,29,25,Android
4554,4554,,73,59,262.8001165,1111,0,13,11376.11933,7460.23197,31,29,Android
1839,1839,,204,165,238.3158902,1541,84,71,2362.111022,1770.300988,30,27,Android
5399,5399,retained,4,4,48.79957484,225,0,0,4002.222929,383.9628212,4,0,Android
13541,13541,churned,28,23,223.704558,2787,0,29,5246.275046,2442.545826,5,5,iPhone
1275,1275,retained,174,142,186.061875,1505,20,0,5251.538361,4242.463802,18,15,iPhone
6650,6650,retained,33,33,182.9903642,1043,0,53,3482.755092,2681.917467,24,15,iPhone
10114,10114,retained,32,27,32.99091633,52,463,46,3191.14372,455.6290546,28,24,Android
4459,4459,churned,31,27,31.59669218,727,18,44,6079.986789,1590.142952,10,10,Android
14266,14266,retained,11,9,164.4737966,2065,77,100,1708.225693,893.2808851,6,6,iPhone
9545,9545,churned,158,127,174.0742888,1198,118,0,4067.80008,1342.850014,2,1,iPhone
10556,10556,retained,200,160,210.260328,1212,73,109,3259.217696,720.9399555,24,18,Android
10657,10657,retained,137,109,164.6165014,1180,103,0,6852.259479,5559.839666,10,5,iPhone
10569,10569,churned,81,65,291.8778025,2062,13,1,2571.393042,1127.191914,8,8,iPhone
2264,2264,retained,60,48,95.47598461,307,406,139,2010.964025,1572.941609,28,22,iPhone
8294,8294,retained,30,24,39.73307845,744,79,6,2798.129104,927.570105,30,23,iPhone
1536,1536,retained,29,28,112.9966262,2513,107,3,3284.09588,1108.474567,6,0,iPhone
4296,4296,retained,85,68,258.6205852,99,60,0,4930.429132,3799.579873,9,4,Android
6779,6779,retained,43,35,117.3036179,2085,227,4,1788.472183,1423.483562,5,5,Android
6061,6061,retained,352,282,363.9509068,2321,40,6,613.631564,474.1444856,27,25,Android
1369,1369,retained,13,11,49.38948364,1680,439,5,3328.495156,1845.400612,4,3,iPhone
740,740,retained,8,8,175.8908239,2856,50,149,6825.749458,3449.343429,3,3,iPhone
6800,6800,churned,84,67,84.49090289,1572,4,0,1590.987228,907.0314296,9,9,Android
3857,3857,retained,1,1,6.48526283,410,216,100,3340.810006,1187.411503,25,19,iPhone
1188,1188,retained,52,52,52.17576228,2132,58,0,4023.149315,2434.82774,30,21,iPhone
13451,13451,,169,138,190.9031325,3349,1,27,4695.889964,1251.574796,4,4,Android
9601,9601,retained,30,26,55.53417112,1369,0,0,9512.953676,4239.41611,16,16,iPhone
1570,1570,retained,95,77,216.8731833,1263,27,0,4249.069281,1097.656577,14,14,iPhone
9632,9632,retained,121,97,337.72599,996,204,0,1872.78193,1508.451629,23,17,iPhone
10107,10107,retained,2,2,91.84719624,1240,0,0,2879.547329,1396.719729,19,18,Android
2527,2527,retained,85,72,130.4766427,3059,0,0,5622.67624,3205.299285,22,22,iPhone
2127,2127,retained,152,122,353.244022,2790,5,15,3428.94053,1307.466991,12,9,iPhone
10073,10073,churned,22,18,70.99717372,403,277,0,2207.194217,1684.921464,0,0,iPhone
2764,2764,retained,2,2,183.2527431,423,582,5,7925.414858,6329.241778,16,9,iPhone
9188,9188,retained,182,146,432.7321999,2131,345,42,3077.250976,978.8558165,16,14,iPhone
11418,11418,retained,1,1,175.8371236,3434,144,117,2557.08105,1748.410396,3,0,iPhone
12638,12638,churned,124,99,184.3842485,2752,0,0,195.9965346,162.4643154,4,0,Android
9392,9392,,37,36,46.11664869,3438,0,0,3407.613338,2787.130676,13,6,iPhone
6018,6018,retained,60,60,561.2269224,1234,37,0,3421.647097,1977.490208,3,3,Android
10035,10035,retained,55,51,72.95097274,3196,165,0,4153.052837,1078.568971,24,22,iPhone
1981,1981,retained,46,37,90.7961492,1572,154,28,1923.092435,966.3112898,13,12,Android
13625,13625,retained,95,76,221.6834644,2600,0,0,5394.47229,1020.680624,31,20,Android
4094,4094,retained,62,50,88.46286552,2174,184,0,3399.406459,391.380753,6,6,iPhone
10919,10919,retained,5,5,387.8691891,2881,23,9,1738.010925,729.6530477,4,4,iPhone
13777,13777,retained,193,155,291.5162398,2416,83,0,3301.290379,384.7579958,10,10,iPhone
14317,14317,retained,50,41,321.9512428,1107,25,24,8513.537039,702.5200925,24,24,iPhone
2057,2057,retained,73,73,75.3766969,2677,90,7,3491.026254,1770.747197,17,10,iPhone
4536,4536,retained,64,51,69.77336515,1490,0,216,2686.090356,1506.733632,23,14,Android
4685,4685,retained,110,90,159.5879307,2465,100,23,3254.246632,1069.749589,9,8,Android
12854,12854,,12,11,90.51692917,1097,0,0,3203.771431,582.884682,18,14,iPhone
4004,4004,,246,197,422.7220068,328,0,9,4474.988925,2692.106452,23,13,iPhone
11696,11696,retained,63,51,266.3735725,1542,31,15,1401.081005,651.9979445,11,10,iPhone
14742,14742,retained,61,54,258.5375579,3251,25,0,2525.84605,902.0196597,5,5,Android
14376,14376,churned,158,130,217.1377008,1529,329,0,3862.89084,2780.8405,4,1,Android
10323,10323,retained,185,149,278.6054934,371,81,20,1146.594086,698.9191658,5,4,iPhone
9913,9913,retained,12,12,131.1951039,782,114,0,10294.84597,6791.085096,20,12,Android
3434,3434,retained,133,110,269.042039,295,44,21,1164.375786,656.6872815,6,6,iPhone
9269,9269,retained,94,76,112.1153935,1733,50,21,970.5658477,772.1662801,28,27,iPhone
9825,9825,retained,37,31,123.1432648,1440,14,12,2109.155318,1661.111253,28,23,Android
6302,6302,retained,50,40,104.2398792,2476,74,0,8562.411356,386.5282581,2,2,Android
1710,1710,churned,61,52,213.7264203,462,286,82,3427.675207,2351.145597,9,9,iPhone
14251,14251,churned,101,81,118.7390539,3371,219,0,1807.064917,1101.576464,3,0,iPhone
6286,6286,retained,14,14,192.403164,909,1,14,4471.913039,594.493294,10,5,iPhone
13047,13047,retained,20,20,49.67769386,541,119,10,6240.579064,4738.639699,29,22,Android
562,562,churned,169,135,187.3042586,333,50,27,1481.17201,806.8464888,6,0,iPhone
10786,10786,retained,45,37,119.1727584,2369,302,6,2909.845393,1981.384155,29,21,iPhone
7907,7907,retained,82,66,198.8670377,144,3,8,4360.343757,1868.017726,0,0,iPhone
640,640,retained,191,169,190.9494175,1225,37,0,2227.386416,1267.155617,8,8,Android
1669,1669,retained,42,35,147.0449551,3191,18,0,5278.699663,3253.871442,1,1,Android
3000,3000,retained,54,43,67.66788099,663,334,0,3556.106283,1509.068375,18,18,Android
7307,7307,retained,298,239,375.6673086,2984,0,38,2113.064833,759.5387705,23,15,iPhone
13481,13481,retained,7,7,225.4496476,53,0,0,2310.366968,1501.061219,21,15,iPhone
14513,14513,retained,8,8,175.5585313,659,466,0,1696.17614,921.9705875,26,20,Android
2407,2407,,49,41,179.9140435,3279,0,0,6580.141593,5227.95812,24,23,Android
12566,12566,churned,302,242,330.7996113,952,110,120,6905.442137,3661.634465,11,6,iPhone
8064,8064,retained,72,72,208.864404,2749,0,0,3201.184982,459.4383115,29,25,Android
7796,7796,churned,167,136,525.9741205,1133,139,50,3512.534793,1606.41224,22,13,iPhone
13385,13385,retained,18,16,352.9557055,2831,533,38,6078.386441,4119.136536,5,5,iPhone
5936,5936,churned,285,229,286.366859,1795,43,60,3856.888251,1057.106156,8,3,Android
14981,14981,retained,17,13,53.73682971,1629,0,0,3134.000748,753.5886023,21,16,iPhone
2910,2910,,273,273,293.6786324,3069,134,104,3434.700103,353.4351817,6,6,iPhone
4081,4081,retained,65,63,77.51028344,2784,132,43,6505.983061,2501.3694,23,16,Android
9948,9948,retained,45,42,75.99740848,1424,393,2,3128.672667,526.7673067,17,11,iPhone
12103,12103,retained,119,95,394.1855579,1881,189,24,2391.585524,1552.905687,20,13,Android
4743,4743,retained,8,8,312.8785616,1358,0,9,3006.460445,1873.391218,13,6,iPhone
14511,14511,retained,32,26,58.58832175,1424,55,0,506.1476382,413.9197497,17,17,Android
5123,5123,retained,6,6,112.9411482,2923,31,16,4105.835632,1998.390964,13,8,Android
2928,2928,,17,14,41.24012091,2037,9,352,1188.624314,352.0246218,7,7,iPhone
3166,3166,retained,329,263,505.2010916,357,101,0,919.6847392,396.6766566,13,7,iPhone
4304,4304,retained,3,3,158.7185714,3012,6,0,8294.668303,5810.122209,3,0,iPhone
7760,7760,retained,20,20,191.2450574,2657,0,0,1379.270553,1074.236125,27,26,iPhone
180,180,retained,95,77,205.0061797,3091,223,113,1330.165394,694.2273068,15,10,iPhone
5070,5070,retained,100,80,132.4308079,1287,1049,218,3402.285264,2170.663652,21,21,Android
12464,12464,churned,77,61,145.1775768,2670,23,89,864.014719,340.9390982,3,3,iPhone
4553,4553,retained,109,90,145.6470986,328,28,7,2843.487089,913.0130454,5,5,iPhone
2218,2218,retained,15,13,648.5877321,2535,414,0,820.5172697,314.1001767,11,7,Android
12317,12317,retained,101,83,119.6671171,1607,215,0,2940.456139,2418.852763,30,20,iPhone
